Название продукта,Картинка,Описание,Цена
"
            Toyota Alphard 1 поколение Минивэн 5-дв. , 2007 ",https://i.cars.kg/preview/r/I0NCDqfYfyAq1dOpz2LCog/1080x-/20220711/7943496ce09f36c39bf1941cfc58c20b.jpg,"
            Toyota Alphard 1 поколение Минивэн 5-дв. , 2007 ",16919$ 
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ",https://i.cars.kg/preview/r/9DnQM6-QkfyXGn-_J3rZIg/1080x-/20220711/2257c8a975145e3c86cedfdd5f06d073.jpg,"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ",18900$ 
"
            Toyota Camry XV50 [рестайлинг] Седан , 2016 ",https://i.cars.kg/preview/r/KDAKrsVlgbrIM7MfMJtR5Q/1080x-/20220711/4df0b3baebf5c9c5b9143ccc328236e5.jpg,"
            Toyota Camry XV50 [рестайлинг] Седан , 2016 ",17700$ 
"
            Toyota Camry XV50 [рестайлинг] Седан , 2014 ",https://i.cars.kg/preview/r/q3Gn4Oe7_lGPqpAoYrBh7g/1080x-/20220711/8e3756ee5e520605dfe5289c14456add.jpg,"
            Toyota Camry XV50 [рестайлинг] Седан , 2014 ",13200$ 
"
            Toyota Highlander 3 поколение Кроссовер , 2015 ",https://i.cars.kg/preview/r/QPotYPYZuVXkkituZOzeqQ/1080x-/20220710/39b42687822633b4ff99ae21eaf688c5.jpg,"
            Toyota Highlander 3 поколение Кроссовер , 2015 ",33500$ 
"
            Toyota Prius 2 поколение , 2004 ",https://i.cars.kg/preview/r/qgGNTxz9rWbAD0_gcdRPhg/1080x-/20220710/1af019085073a367f9077b452d9a1948.jpg,"
            Toyota Prius 2 поколение , 2004 ",6700$ 
"
            Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2014 ",https://i.cars.kg/preview/r/O7kxVsua_fJpCZufmc0KgQ/1080x-/20220710/b9a31c2d5f65ecb7cfd8f95de77992e4.jpg,"
            Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2014 ",13400$ 
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2019 ",https://i.cars.kg/preview/r/WHuQ_fBuV3XPm-TIHPSZsw/1080x-/20220708/c29245c0b1f73a02a05cec85e5a45d36.jpeg,"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2019 ",34000$ 
"
            Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. , 2013 ",https://i.cars.kg/preview/r/Kr5O2b7Ww2AUZlAqHVenrQ/1080x-/20220708/c1895154c2bed6a615e6060f217e637a.jpg,"
            Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. , 2013 ",24000$ 
"
            Toyota Crown S60 Седан , 1973 ",https://i.cars.kg/preview/r/9eRtrTOjy6Gd6_NkwoZGsA/1080x-/20220708/dadc3bcf76c46e3ec048cad1a5c5bfbe.jpg,"
            Toyota Crown S60 Седан , 1973 ",8500$ 
